=== Liste des pays par dette extérieure ===

Rang  | Pays                     | Dette extérieure  | Date
--------------------------------------------------------------------------------
1      | États-Unis                     | 30 000 000 000 000   | 2 février 2022
2      | Chine                          | 40 000 000 000 000   | 31 décembre 2019 est.
3      | Union européenne               | 13 720 000 000 000   | 30 juin 2010
4      | Royaume-Uni                    | 8 981 000 000 000    | 30 juin 2010
5      | Allemagne                      | 4 713 000 000 000    | 30 juin 2010
6      | Pays-Bas                       | 3 790 000 000 000    | 31 décembre 2024
7      | France                         | 3 299 462 620 000    | 30 juin 2023
8      | Japon                          | 2 441 000 000 000    | 30 septembre 2010
9      | Irlande                        | 2 253 000 000 000    | 30 septembre 2010
10     | Italie                         | 2 223 000 000 000    | 30 juin 2010 est.
10     | Espagne                        | 2 166 000 000 000    | 30 juin 2010
11     | Belgique                       | 1 241 000 000 000    | 30 juin 2010
12     | Norvège                        | 643 000 000 000      | 12 août 2011
13     | Luxembourg                     | 20 000 000 000       | 31 décembre 2023
14     | Suisse                         | 233 000 000 000      | 30 septembre 2010
15     | Australie                      | 1 169 000 000 000    | 31 décembre 2010 est.
16     | Canada                         | 1 009 000 000 000    | 30 juin 2010
17     | Suède                          | 853 300 000 000      | 30 juin 2010
18     | Autriche                       | 755 000 000 000      | 30 juin 2010
—      | Hong Kong                      | 750 800 000 000      | 31 décembre 2010 est.
19     | Danemark                       | 559 500 000 000      | 30 juin 2010
20     | Grèce                          | 532 900 000 000      | 30 juin 2010
21     | Portugal                       | 497 800 000 000      | 30 juin 2010
22     | Russie                         | 480 200 000 000      | 30 novembre 2010 est.
24     | Finlande                       | 370 800 000 000      | 30 juin 2010
25     | Corée du Sud                   | 370 100 000 000      | 31 décembre 2010 est.
26     | Brésil                         | 310 800 000 000      | 31 décembre 2010 est.
27     | Turquie                        | 270 700 000 000      | 31 décembre 2010 est.
28     | Pologne                        | 252 900 000 000      | 31 décembre 2010 est.
29     | Inde                           | 100 000 000 000      | 31 décembre 2010
30     | Mexique                        | 212 500 000 000      | 31 décembre 2010 est.
31     | Indonésie                      | 196 100 000 000      | 31 décembre 2010 est.
32     | Argentine                      | 160 900 000 000      | 30 septembre 2010 est.
33     | Hongrie                        | 148 400 000 000      | 31 décembre 2010 est.
34     | Émirats arabes unis            | 122 700 000 000      | 31 December 2010 est.
35     | Roumanie                       | 108 900 000 000      | 31 décembre 2010 est.
36     | Ukraine                        | 97 500 000 000       | 31 décembre 2010 est.
37     | Kazakhstan                     | 94 440 000 000       | 31 décembre 2010 est.
38     | Israël                         | 89 680 000 000       | 31 décembre 2010 est.
39     | République tchèque             | 86 790 000 000       | 31 décembre 2010 est.
40     | Chili                          | 84 510 000 000       | 31 décembre 2010 est.
